trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-183.4409540078971,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-121.696329598398,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-56.274169211358384,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-43.841142018152986,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-149.46525096221055,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-97.67256710085155,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-109.14330006808243,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.80562987022468,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-15.323769762798744,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-67.66972123302682,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-64.6148815133622,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-37.73235661610738,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,17.122846646941202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-47.73835887745828,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,13,-149.5188531432039,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,2.226599851609263,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,24.693002077273192,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-11.516737335305447,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-52.33519044191188,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-39.40634475044076,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,10,-109.57391204258423,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-29.262558924833982,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,3.7435979416826517,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-71.74077795310255,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-43.16275576641367,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,1.2483296413926142,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-50.34851745315399,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,3,-96.42424757289639,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,0,-46.11567627093888,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-49.118373289873546,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
