trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",25,0,-174.148332557181,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",25,0,-232.84792015995382,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",30,0,-150.09030539038204,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.4096000000000001}",30,0,-261.640330496862,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 6}",0
5,False,"{'a': 0.8, 'e': 0.3276800000000001}",20,0,-130.5655585907522,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",25,0,-64.49673578933518,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.20971520000000007}",25,0,-101.22046344713385,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",20,0,-76.40471836124844,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",30,0,-103.62782220651451,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",20,0,-1.3279117891102472,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",20,0,-70.75911849735321,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",20,8,-34.97878128540669,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.8, 'e': 0.05497558138880004}",30,12,14.161366372621082,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",20,0,-102.28428329100937,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",20,0,-19.24098605386008,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.028147497671065624}",30,4,-82.18378471965593,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",25,0,-21.068569018947276,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",25,0,-7.025875463806883,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",35,0,-78.95758078167421,"{0: 28, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",30,0,29.83569933332935,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,3,-12.795873715141258,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,12,-22.750395668261355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,0,41.419711066007686,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,5,-32.05110665344022,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,4,-12.48730780968609,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,-58.34799416118877,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-15.465870437623494,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",35,18,-34.96919685588788,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",35,17,17.0817915150915,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-8.662876682877119,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
