trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.9751431733924,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.54640439718113,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.80730188048086,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.59919371881932,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.53037397944009,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.9666011374034,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,3,-119.99035967492901,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.7205089034197,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-29.166799283260517,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.89491204108523,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.17258078872503,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.07099569165977,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.8859902443364,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.83571920343437,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.02640847378055,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.93624721359149,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.05545847748779,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-25.770379538454815,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.39834875106308,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.99823220662115,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.793106537477072,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-251.94391505503063,"{0: 17, 1: 1, 2: 5, 3: 3, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.6962544567882,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,24,-46.40986239896158,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.16270618817677,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.727882367555864,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.1801744367964,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.43678883765645,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.18384158995192,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-81.81310315137902,"{0: 22, 1: 4, 2: 9, 3: 0, 4: 0}",0
